ID STAR;SGidSourceEnt
102857;UBFC_ADUM_ UBFC_86912
179423;UBFC_ADUM_ UBFC_86911
103647;UBFC_ADUM_ UBFC_86909
106424;UBFC_ADUM_ UBFC_86904
182446;UBFC_ADUM_ UBFC_86903
158426;UBFC_ADUM_ UBFC_86902
118990;UBFC_ADUM_ UBFC_86901
148718;UBFC_ADUM_ UBFC_86898
148756;UBFC_ADUM_ UBFC_86896
111378;UBFC_ADUM_ UBFC_86894
109452;UBFC_ADUM_ UBFC_86893
119229;UBFC_ADUM_ UBFC_86892
106396;UBFC_ADUM_ UBFC_86891
103659;UBFC_ADUM_ UBFC_86890
130787;UBFC_ADUM_ UBFC_86889
179278;UBFC_ADUM_ UBFC_86885
129514;UBFC_ADUM_ UBFC_86882
112300;UBFC_ADUM_ UBFC_86881
110990;UBFC_ADUM_ UBFC_86880
113193;UBFC_ADUM_ UBFC_86878
116313;UBFC_ADUM_ UBFC_86872
119010;UBFC_ADUM_ UBFC_86870
181131;UBFC_ADUM_ UBFC_86869
125704;UBFC_ADUM_ UBFC_86868
142863;UBFC_ADUM_ UBFC_86867
113202;UBFC_ADUM_ UBFC_86866
146914;UBFC_ADUM_ UBFC_86853
111012;UBFC_ADUM_ UBFC_86852
113208;UBFC_ADUM_ UBFC_86847
117535;UBFC_ADUM_ UBFC_86763
109159;UBFC_ADUM_ UBFC_86712
104428;UBFC_ADUM_ UBFC_86707
169338;UBFC_ADUM_ UBFC_86704
123931;UBFC_ADUM_ UBFC_86702
104462;UBFC_ADUM_ UBFC_86699
154504;UBFC_ADUM_ UBFC_86696
121338;UBFC_ADUM_ UBFC_86695
121320;UBFC_ADUM_ UBFC_86694
106254;UBFC_ADUM_ UBFC_86693
147590;UBFC_ADUM_ UBFC_86692
112278;UBFC_ADUM_ UBFC_86691
131286;UBFC_ADUM_ UBFC_86690
104408;UBFC_ADUM_ UBFC_86689
145111;UBFC_ADUM_ UBFC_86678
169994;UBFC_ADUM_ UBFC_86676
145936;UBFC_ADUM_ UBFC_86674
135448;UBFC_ADUM_ UBFC_86673
102902;UBFC_ADUM_ UBFC_86671
104489;UBFC_ADUM_ UBFC_86668
131599;UBFC_ADUM_ UBFC_86667
117527;UBFC_ADUM_ UBFC_86664
129239;UBFC_ADUM_ UBFC_86663
180738;UBFC_ADUM_ UBFC_86658
122706;UBFC_ADUM_ UBFC_86657
152383;UBFC_ADUM_ UBFC_86656
170739;UBFC_ADUM_ UBFC_86655
137266;UBFC_ADUM_ UBFC_86653
129158;UBFC_ADUM_ UBFC_86650
178341;UBFC_ADUM_ UBFC_86646
148476;UBFC_ADUM_ UBFC_86645
104613;UBFC_ADUM_ UBFC_86644
166431;UBFC_ADUM_ UBFC_86643
130009;UBFC_ADUM_ UBFC_86641
154505;UBFC_ADUM_ UBFC_86638
171023;UBFC_ADUM_ UBFC_86637
135335;UBFC_ADUM_ UBFC_86634
104407;UBFC_ADUM_ UBFC_86617
137110;UBFC_ADUM_ UBFC_86613
145929;UBFC_ADUM_ UBFC_86612
106366;UBFC_ADUM_ UBFC_86610
142610;UBFC_ADUM_ UBFC_86608
161058;UBFC_ADUM_ UBFC_86607
105830;UBFC_ADUM_ UBFC_86593
106417;UBFC_ADUM_ UBFC_86587
126116;UBFC_ADUM_ UBFC_86585
107670;UBFC_ADUM_ UBFC_86583
133577;UBFC_ADUM_ UBFC_86580
168561;UBFC_ADUM_ UBFC_86575
159237;UBFC_ADUM_ UBFC_86574
112609;UBFC_ADUM_ UBFC_86572
106320;UBFC_ADUM_ UBFC_86571
105855;UBFC_ADUM_ UBFC_86570
125948;UBFC_ADUM_ UBFC_86569
102865;UBFC_ADUM_ UBFC_86568
121773;UBFC_ADUM_ UBFC_86565
136270;UBFC_ADUM_ UBFC_86563
144276;UBFC_ADUM_ UBFC_86560
170481;UBFC_ADUM_ UBFC_86559
111248;UBFC_ADUM_ UBFC_86558
159635;UBFC_ADUM_ UBFC_86556
145557;UBFC_ADUM_ UBFC_86555
120508;UBFC_ADUM_ UBFC_86553
135096;UBFC_ADUM_ UBFC_86552
104406;UBFC_ADUM_ UBFC_86551
102858;UBFC_ADUM_ UBFC_86548
104461;UBFC_ADUM_ UBFC_86546
129640;UBFC_ADUM_ UBFC_86543
106004;UBFC_ADUM_ UBFC_86542
125934;UBFC_ADUM_ UBFC_86540
118862;UBFC_ADUM_ UBFC_86539
171067;UBFC_ADUM_ UBFC_86538
128598;UBFC_ADUM_ UBFC_86535
117447;UBFC_ADUM_ UBFC_86531
