IDstar,ancienne_url,nouvelle_url
4515,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/14bedb1f-257d-41fc-a9aa-bd63a80ff400,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Mihelic.pdf
2630,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/dd997bc9-d0fe-43db-a597-13c84b75f974,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Milani.pdf
2735,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/b5ed9202-bafb-41b6-a04c-a87968f1a911,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Moha.pdf
3694,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/ed84e7e2-1cd1-4537-a7b2-15a1e17005ee,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Mokni.pdf
3415,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/9f79b6bf-5393-4e8c-b07c-97c33d5d5eeb,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Mongy.pdf
3333,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/caf8da71-4eb1-47ad-99b7-e967132b1015,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Morandini.pdf
3707,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/2d8cc29f-e19f-4d40-83b6-41078f29bd1f,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Moyon-1.pdf
3493,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/523ec21c-5b04-4686-a42e-3973421d5fae,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Noguera.pdf
3642,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/3209a3b5-e006-4ff5-8aa6-d4047d6992f0,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Outirite.pdf
3653,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/9887cd16-8400-49c1-a6d3-e135b1e771af,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Pamies.pdf
3677,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/b3903e23-dffe-4648-8967-4bcf3380cad0,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Pan.pdf
3679,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/8ff9b08d-4f31-4156-93ff-131c250b66a2,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Parent.pdf
3332,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/ded8f5e1-57a7-4a9b-b0e2-c91c7d4ff1d6,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Pellay.pdf
2757,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/ff6a4aeb-2a86-467d-9438-ce8df6dec8b2,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Petitcunot.pdf
5821,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/9c1339aa-50c9-4cc3-9e4a-cbf3f2c7a093,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Peurton.pdf
2691,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/94121054-f3d3-411a-b246-bd4937498d8c,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Pille-1.pdf
2691,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/6e59d3dc-3d68-4f33-9fdb-5abfb6f1f6cb,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Pille-2.pdf
