IDSTAR;ID STEP;NNT;numeroPAC;SGindicCines;dateCines;etat;etatWF;SCOL etat;BIBL etat;FICH etat;VALID etat
172191;306600;2021ECDM0013;1442987;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
175959;311255;2020ORLE3167;1443176;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
188937;312809;2022COAZ4021;1443004;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
182655;318567;2022COAZ4023;1442996;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
183209;319437;2022COAZ2012;1443139;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
180027;324011;2022ULILS003;1442989;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
180961;338515;2021ISAR0015;1443177;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
186047;339818;2021LILUD014;1443015;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
188191;341633;2022LYSEI008;1443017;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
186207;342234;2021LILUD012;1442994;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
188295;344349;2022BORD0217;1442985;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
188698;345011;2022LYSEI014;1443016;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
188685;345047;2022COAZ0014;1441746;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
188818;347045;2022LYSEI016;1443019;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
189023;347311;2022LYSEI035;1443180;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
189026;;2018SORUS626;1443201;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
189024;;2018SORUS627;1443184;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
189020;;2019SORUS676;1443186;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
121857;;2019TOUR4035;1443153;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
183227;;2021ENTA0012;1443169;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
189028;;2021SORUS430;1443223;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
