Id;OLD_COD_IND;ETAB;COD_IND
124303;574658;UNIP;557018
124331;572763;UNIP;556192
124334;21614520;UNIP;261409
124335;21614488;UNIP;261384
124375;436789;UNIP;472918
124376;478526;UNIP;505649
124377;438297;UNIP;474194
124378;486898;UNIP;510127
124381;485307;UNIP;509586
124382;469252;UNIP;499263
124383;539190;UNIP;538609
124399;466665;UNIP;497044
124400;558577;UNIP;548089
124401;374752;UNIP;428230
124402;560276;UNIP;548378
124403;567722;UNIP;553520
124404;449224;UNIP;482913
124405;572600;UNIP;556119
124406;579972;UNIP;559235
124407;503360;UNIP;518659
124474;21404078;UNIP;227237
124729;21412296;UNIP;233669
124739;21617773;UNIP;263816
124865;21615530;UNIP;262144
124866;21616434;UNIP;262850
124867;21616741;UNIP;263113
124868;21003482;UNIP;173884
124869;21511754;UNIP;245656
124895;570836;UNIP;555235
124896;578959;UNIP;558792
124901;575639;UNIP;557456
125056;21408851;UNIP;230449
125102;544253;UNIP;542129
125113;21614398;UNIP;261309
125125;21409777;UNIP;231313
125129;21515571;UNIP;248804
125130;21613299;UNIP;260472
125166;573651;UNIP;556571
125179;574510;UNIP;556950
125193;546459;UNIP;543291
125276;21612314;UNIP;259687
125319;20809370;UNIP;154887
125340;21404951;UNIP;227888
125341;21416803;UNIP;237062
125591;21624272;UNIP;267891
125595;573643;UNIP;556564
125638;575517;UNIP;557377
125645;575590;UNIP;557421
125651;541575;UNIP;540339
125652;571521;UNIP;555603
125659;497660;UNIP;514024
125660;579053;UNIP;558814
125662;572520;UNIP;556088
125663;523043;UNIP;530320
125714;523374;UNIP;530493
125727;21512456;UNIP;246170
125775;559176;UNIP;548177
125778;570893;UNIP;555265
125804;551513;UNIP;545352
125834;21515225;UNIP;248537
125848;21819417;UNIP;297157
125928;21002779;UNIP;173359
125929;21621150;UNIP;265852
125999;21611956;UNIP;259421
126075;21412645;UNIP;233990
126125;21510446;UNIP;244703
126126;21517004;UNIP;249926
126197;20406878;UNIP;106437
126581;21614252;UNIP;261203
