IDSTEP;SGentreeIdSource;new
214754;UBFC_ADUM_ UBFC_105621;UBFC_ADUM_UBFC_105621
214734;UBFC_ADUM_ UBFC_105603;UBFC_ADUM_UBFC_105603
214720;UBFC_ADUM_ UBFC_105602;UBFC_ADUM_UBFC_105602
214713;UBFC_ADUM_ UBFC_105589;UBFC_ADUM_UBFC_105589
214625;UBFC_ADUM_ UBFC_105561;UBFC_ADUM_UBFC_105561
219848;UBFC_ADUM_ UBFC_105560;UBFC_ADUM_UBFC_105560
214624;UBFC_ADUM_ UBFC_105559;UBFC_ADUM_UBFC_105559
214656;UBFC_ADUM_ UBFC_105558;UBFC_ADUM_UBFC_105558
218479;UBFC_ADUM_ UBFC_105557;UBFC_ADUM_UBFC_105557
214655;UBFC_ADUM_ UBFC_105556;UBFC_ADUM_UBFC_105556
214622;UBFC_ADUM_ UBFC_105555;UBFC_ADUM_UBFC_105555
214653;UBFC_ADUM_ UBFC_105554;UBFC_ADUM_UBFC_105554
214652;UBFC_ADUM_ UBFC_105553;UBFC_ADUM_UBFC_105553
214651;UBFC_ADUM_ UBFC_105552;UBFC_ADUM_UBFC_105552
229136;UBFC_ADUM_ UBFC_105495;UBFC_ADUM_UBFC_105495
214465;UBFC_ADUM_ UBFC_105480;UBFC_ADUM_UBFC_105480
214464;UBFC_ADUM_ UBFC_105479;UBFC_ADUM_UBFC_105479
214451;UBFC_ADUM_ UBFC_105478;UBFC_ADUM_UBFC_105478
214463;UBFC_ADUM_ UBFC_105476;UBFC_ADUM_UBFC_105476
214462;UBFC_ADUM_ UBFC_105475;UBFC_ADUM_UBFC_105475
214447;UBFC_ADUM_ UBFC_105474;UBFC_ADUM_UBFC_105474
214446;UBFC_ADUM_ UBFC_105472;UBFC_ADUM_UBFC_105472
214445;UBFC_ADUM_ UBFC_105471;UBFC_ADUM_UBFC_105471
214443;UBFC_ADUM_ UBFC_105468;UBFC_ADUM_UBFC_105468
214456;UBFC_ADUM_ UBFC_105465;UBFC_ADUM_UBFC_105465
214454;UBFC_ADUM_ UBFC_105461;UBFC_ADUM_UBFC_105461
214453;UBFC_ADUM_ UBFC_105460;UBFC_ADUM_UBFC_105460
214430;UBFC_ADUM_ UBFC_105459;UBFC_ADUM_UBFC_105459
236899;UBFC_ADUM_ UBFC_105448;UBFC_ADUM_UBFC_105448
214382;UBFC_ADUM_ UBFC_105426;UBFC_ADUM_UBFC_105426
214254;UBFC_ADUM_ UBFC_105281;UBFC_ADUM_UBFC_105281
214253;UBFC_ADUM_ UBFC_105280;UBFC_ADUM_UBFC_105280
214252;UBFC_ADUM_ UBFC_105279;UBFC_ADUM_UBFC_105279
214211;UBFC_ADUM_ UBFC_105278;UBFC_ADUM_UBFC_105278
214064;UBFC_ADUM_ UBFC_105098;UBFC_ADUM_UBFC_105098
214056;UBFC_ADUM_ UBFC_105087;UBFC_ADUM_UBFC_105087
214040;UBFC_ADUM_ UBFC_105085;UBFC_ADUM_UBFC_105085
214037;UBFC_ADUM_ UBFC_105080;UBFC_ADUM_UBFC_105080
213990;UBFC_ADUM_ UBFC_105077;UBFC_ADUM_UBFC_105077
